system,model_seed,reverse_region,timestep,call_index,site,operation,anchor_weight_mass,complement_weight_mass,anchor_norm,complement_residual_norm,fraction_projected,near_zero_skip_fraction,pre_projection_cosine,post_projection_cosine,removed_opposing_norm_ratio,removed_opposing_energy_ratio,retained_complement_norm,full_to_aa_delta_norm,aa_to_fa_delta_norm,effective_branch_count,maximum_weight,top1_top2_margin,dominant_period,active_period_count,decomposition_identity_max_abs_error,maximum_post_projection_violation
PETS_U_BF_EAA_DAA,1,high_noise,490,0,encoder,ANTI_ANCHOR,0.6396041875705123,0.3603958166204393,4.485444622347131,0.966283550420485,0.8994140625,0.0,-0.4507048300951304,0.0192309332876519,0.4699357560851585,0.2918165902171036,0.7999980246750056,0.4475235515979934,0.7999980246750056,2.32713495567441,0.6311099883168936,0.4432708821259439,27.75,5.0,5.960464477539064e-08,1.341104507446289e-07
PETS_U_BF_EAA_DAA,1,high_noise,490,0,decoder,ANTI_ANCHOR,0.7323694489896297,0.2676305525383213,1.4792653649346903,0.2854462746080912,0.964599609375,0.0,-0.4065323760949642,0.0027652646190072,0.409297625275542,0.2092061881573125,0.2503998043824822,0.1196865627378631,0.2503998043824822,1.6516324393451214,0.7323694489896297,0.4932647123932838,21.0,6.0,2.2351741790771484e-08,1.862645149230957e-08
PETS_U_BF_EFULL_DFULL,1,middle,250,0,encoder,FULL,0.5833001052960753,0.4166999030858278,9.38072594604455,1.9001005598129268,0.0,0.0,-0.6295671492015629,-0.6295671492015629,0.0,0.0,1.9001005598129268,0.0,1.9001005598129268,2.582486368715763,0.569559657946229,0.3504474870860576,29.03125,5.0,8.940696716308595e-08,68.91852569580078
PETS_U_BF_EFULL_DFULL,1,middle,250,0,decoder,FULL,0.9602631609886884,0.0397368380072293,1.8235271558660315,0.0514465939241972,0.0,0.0,-0.6491670974836552,-0.6491670974836552,0.0,0.0,0.0514465939241972,0.0,0.0514465939241972,1.0855134055018425,0.9602631609886884,0.9400489795953036,25.0,6.0,3.725290298461914e-09,1.0455567836761477
PETS_U_BF_EAA_DFULL,1,middle,250,0,encoder,ANTI_ANCHOR,0.5833001052960753,0.4166999030858278,9.38072594604455,1.9001005598129268,0.88232421875,0.0,-0.6295671492015629,0.0427634706466724,0.6723305982699799,0.5545745056037361,1.1077671364237176,1.3411392591789593,1.1077671364237176,2.582486368715763,0.569559657946229,0.3504474870860576,29.03125,5.0,8.940696716308595e-08,3.5762786865234375e-07
PETS_U_BF_EAA_DFULL,1,middle,250,0,decoder,FULL,0.9602858740836382,0.0397141265711979,1.776065046331496,0.0483658290800121,0.0,0.0,-0.6415937012473023,-0.6415937012473023,0.0,0.0,0.0483658290800121,0.0,0.0483658290800121,1.0854172632098198,0.9602858740836382,0.9403032902628184,25.0,6.0,1.862645149230957e-09,1.044618844985962
PETS_U_BF_EFULL_DAA,1,middle,250,0,encoder,FULL,0.5833001052960753,0.4166999030858278,9.38072594604455,1.9001005598129268,0.0,0.0,-0.6295671492015629,-0.6295671492015629,0.0,0.0,1.9001005598129268,0.0,1.9001005598129268,2.582486368715763,0.569559657946229,0.3504474870860576,29.03125,5.0,8.940696716308595e-08,68.91852569580078
PETS_U_BF_EFULL_DAA,1,middle,250,0,decoder,ANTI_ANCHOR,0.9602631609886884,0.0397368380072293,1.8235271558660315,0.0514465939241972,0.98779296875,0.0,-0.6491670974836552,0.0016746907491017,0.6508416779294066,0.4646855233500815,0.035470841291044,0.0342764511740476,0.035470841291044,1.0855134055018425,0.9602631609886884,0.9400489795953036,25.0,6.0,3.725290298461914e-09,2.7939677238464355e-09
PETS_U_BF_EAA_DAA,1,middle,250,0,encoder,ANTI_ANCHOR,0.5833001052960753,0.4166999030858278,9.38072594604455,1.9001005598129268,0.88232421875,0.0,-0.6295671492015629,0.0427634706466724,0.6723305982699799,0.5545745056037361,1.1077671364237176,1.3411392591789593,1.1077671364237176,2.582486368715763,0.569559657946229,0.3504474870860576,29.03125,5.0,8.940696716308595e-08,3.5762786865234375e-07
PETS_U_BF_EAA_DAA,1,middle,250,0,decoder,ANTI_ANCHOR,0.9602858740836382,0.0397141265711979,1.776065046331496,0.0483658290800121,0.987060546875,0.0,-0.6415937012473023,0.0018957680317314,0.643489361401862,0.4536986438409549,0.0338952056415564,0.0317902462883168,0.0338952056415564,1.0854172632098198,0.9602858740836382,0.9403032902628184,25.0,6.0,1.862645149230957e-09,3.725290298461914e-09
